,,,,,,
Iris ,"0,426",0,"604,762","0,695",0,"532,271"
Wine ,"0,323",0,"792,895","0,226",0,"728,582"
Soybean ,"0,47",0,"214,384","0,579",0,"198,103"
Pima ,0,"15,452","4715,371","-0,002","12,753","4633,632"
Balance ,"0,021","6,653","2981,93","0,021","7,762","2936,775"
Boston ,"-0,001",0,"1713,912",0,0,"1757,752"
Diabetes ,"0,001",0,"1444,126","-0,001","0,593","1701,797"
Breast_Cancer ,"0,062","9,729","4265,939","0,071","8,744","4299,566"
Bupa ,"0,027","1,307","1667,662","0,008","2,941","1689,246"
Ecoli ,"0,007","6,985","1354,754","0,01","1,103","1256,682"
Haberman ,"0,017","1,25","1362,006","-0,01","2,083","1316,887"
Led7Digit ,"0,006","4,667","2061,427","0,004","2,333","2033,205"
Monk2 ,"0,042","3,896","2146,691","0,057","2,814","2103,857"
Newthyroid ,"-0,038",0,"908,612","-0,053",0,"881,47"
Vehicle ,"0,004","19,601","4962,916","0,001","11,628","5049,591"
Zoo ,"0,006",0,"409,748","0,123",0,"394,234"
Sonar ,"0,004",0,"1321,749","0,008","0,909","1336,02"
Heart ,"-0,002",0,"1365,455","0,002","1,099","1319,921"
Ionosphere ,"0,007","5,229","2263,664","0,04","3,595","2222,874"
Wdbc ,"0,01","10,837","4282,309","0,027","9,36","4222,782"
Vowel ,"0,002","10,653","4641,914","0,001","8,286","4641,028"
Movement_Libras ,"0,002","0,654","1763,989","-0,001","0,654","1744,444"
Appendicitis ,"0,039",0,"454,889","-0,037",0,"444,266"
Saheart ,"0,031","6,522","2489,457","0,018","7,065","2437,318"
Spectfheart ,"0,117","0,549","1745,172","0,086","1,099","1692,975"
Hayesroth ,"-0,011",0,"652,01","0,001",0,"613,32"
Tae ,0,0,"613,469","0,003",0,"585,651"
Glass ,"-0,002",0,"862,338","-0,015",0,"847,149"
Rand ,"0,34",0,"590,99","0,735",0,"543,433"
Spiral ,"-0,002","0,952","1280,672","-0,001","1,429","1249,028"
Moons ,"0,077","1,429","1279,418","0,189","0,476","1253,143"
Circles ,0,"0,952","1281,341","0,068","1,429","1239,692"
,"0,06203125","3,35365625","1827,99909375","0,08915625","2,75484375","1809,5841875"
