0.6914 5.2414 513.6752 0.5526 6.5284 488.2616
0.4164 0 171.281 0.5628 0 153.4062
0.753 11.544 4855.4456 0.899 4.419 4820.684
0.8074 9.0856 4061.1624 0.9774 0.8914 3984.37
0.936 2.9752 1529.151 0.9928 0.2814 1508.772
0.0278 25.7158 1267.4186 0.0468 21.466 1277.9032
0.9432 2.0728 1266.1312 0.9972 0.1376 1235.4406
0.0066 13.6528 2053.2644 0.0046 12.1698 2066.2232
0.8552 6.0252 2055.425 0.9908 0.3794 2013.4676
0.1442 28.7812 5189.0656 0.0442 29.0084 5284.288
0.176 5.4286 335.7152 0.1528 4.1908 320.1864
0.9924 0.1858 1138.769 1 0 1127.0204
0.9018 4.314 2051.251 0.9928 0.2576 2019.5576
0.8226 8.2814 4019.6832 0.9716 1.068 3983.564
0.0016 14.6818 5450.3306 0.0026 13.766 5514.0522
0.006 8.3806 1654.1588 0.0036 7.676 1645.174
1 0 389.9046 1 0 371.579
0.8814 5.2502 2402.5132 0.9812 0.706 2353.9308
0.9528 1.6772 1602.229 1 0 1526.9254
0.5482 6.3306 554.3394 0.5306 7.0564 540.5852
0.3506 9.8066 527.2924 0.392 9.4194 508.61
0.0378 23.6102 766.8614 0.0822 16.412 796.162
0.9212 3.6044 1178.5804 0.9976 0.0906 1155.1938
0.9368 2.6892 1177.8476 0.9948 0.158 1157.2222
0.9348 2.8136 1180.268 1 0 1170.4524
0.611625 6.854525 1781.54690625 0.59606875 5.98625 1772.2949875
