0.4122 3.8734 506.5484 0.2596 6.0868 486.723
0.4282 0 170.6736 0.422 0 155.948
0.4806 22.0512 4451.1928 0.7618 9.9278 4402.6928
0.7718 10.172 3854.911 0.9114 3.3104 3766.402
0.8398 5.9726 1463.1518 0.8008 5.6414 1437.639
0.0146 24.314 1200.4628 0.0252 19.09 1127.5678
0.8662 4.6766 1209.4712 0.7964 5.3142 1147.4794
0.0042 12.8362 1902.2718 0.0074 10.919 1897.511
0.7512 10.8268 1949.3052 0.9452 2.0672 1920.3606
0.0894 28.0442 4806.5594 0.0184 26.8562 4749.8124
0.1572 3.5004 333.9844 0.1284 2.8336 315.1308
0.8002 5.04 1124.7 0.8896 2.1772 1069.8624
0.8028 7.7216 1986.5432 0.5906 11.9738 1944.0852
0.8054 8.985 3829.4072 0.93 2.8014 3750.7114
0.0018 14.4856 4807.1646 0.001 13.3414 4867.849
0.006 8.6794 1584.0284 6e-04 8.889 1590.321
0.2964 6.1668 381.625 0.3318 5.8334 362.1064
0.7492 10.9398 2281.9922 0.9452 1.8386 2225.2104
0.9236 2.8536 1561.0396 0.7782 5.7318 1485.2596
0.107 7.5364 545.8606 0.0986 8.2608 520.7022
0.1186 7.1146 522.088 0.0656 8.3796 513.2886
0.0174 17.5 745.9868 0.031 11.7426 722.0088
0.8468 5.6766 1133.9618 0.9492 1.4952 1102.92
0.9576 1.3336 1133.8576 0.9948 0.0204 1113.6866
0.8278 6.1014 1136.4838 0.9816 0.404 1108.9278
0.4567375 8.9782 1674.84275 0.44165 7.62844375 1648.77898125
