Iris & 0.000 & 0.000 & 0.000 && 0.621 & 0.000 & 241.475 \\
Wine & 0.000 & 0.000 & 0.000 && 0.334 & 1.830 & 316.391 \\
Soybean & 0.000 & 0.000 & 0.000 && 0.304 & 0.000 & 79.634 \\
Pima & 0.000 & 0.000 & 0.000 && 0.654 & 14.504 & 1976.616 \\
Balance & 0.000 & 0.000 & 0.000 && 0.346 & 22.960 & 1257.500 \\
Boston & 0.000 & 0.000 & 0.000 && 0.004 & 0.188 & 734.324 \\
Diabetes & 0.000 & 0.000 & 0.000 && 0.006 & 0.283 & 618.560 \\
Breast_Cancer & 0.000 & 0.000 & 0.000 && 0.755 & 9.185 & 1762.109 \\
Bupa & 0.000 & 0.000 & 0.000 && 0.870 & 1.513 & 681.563 \\
Ecoli & 0.000 & 0.000 & 0.000 && 0.069 & 14.831 & 561.354 \\
Haberman & 0.000 & 0.000 & 0.000 && 0.638 & 3.570 & 556.744 \\
Led7Digit & 0.000 & 0.000 & 0.000 && 0.016 & 10.580 & 863.714 \\
Monk2 & 0.000 & 0.000 & 0.000 && 0.815 & 4.947 & 891.321 \\
Newthyroid & 0.000 & 0.000 & 0.000 && 0.028 & 8.225 & 363.664 \\
Vehicle & 0.000 & 0.000 & 0.000 && 0.024 & 26.067 & 2113.914 \\
Zoo & 0.000 & 0.000 & 0.000 && 0.151 & 2.182 & 160.586 \\
Sonar & 0.000 & 0.000 & 0.000 && 0.649 & 0.190 & 529.431 \\
Heart & 0.000 & 0.000 & 0.000 && 0.793 & 0.741 & 548.014 \\
Ionosphere & 0.000 & 0.000 & 0.000 && 0.792 & 3.302 & 915.266 \\
Wdbc & 0.000 & 0.000 & 0.000 && 0.747 & 10.075 & 1756.544 \\
Vowel & 0.000 & 0.000 & 0.000 && 0.002 & 12.290 & 2038.006 \\
Movement_Libras & 0.000 & 0.000 & 0.000 && 0.022 & 3.841 & 724.199 \\
Appendicitis & 0.000 & 0.000 & 0.000 && 0.611 & 0.000 & 177.802 \\
Saheart & 0.000 & 0.000 & 0.000 && 0.800 & 5.828 & 1029.753 \\
Spectfheart & 0.000 & 0.000 & 0.000 && 0.896 & 0.000 & 718.332 \\
Hayesroth & 0.000 & 0.000 & 0.000 && 0.031 & 0.833 & 258.935 \\
Tae & 0.000 & 0.000 & 0.000 && 0.031 & 1.000 & 246.855 \\
Glass & 0.000 & 0.000 & 0.000 && 0.009 & 6.926 & 352.653 \\
Rand & 0.000 & 0.000 & 0.000 && 0.779 & 0.000 & 235.503 \\
Spiral & 0.000 & 0.000 & 0.000 && 0.856 & 0.414 & 527.023 \\
Moons & 0.000 & 0.000 & 0.000 && 0.968 & 0.184 & 525.464 \\
Circles & 0.000 & 0.000 & 0.000 && 0.798 & 0.966 & 524.612 \\
