Iris & 0.412 & 3.873 & 506.548 && 0.260 & 6.087 & 486.723 \\
Wine & 0.528 & 5.299 & 669.719 && 0.229 & 9.060 & 642.074 \\
Soybean & 0.428 & 0.000 & 170.674 && 0.422 & 0.000 & 155.948 \\
Pima & 0.481 & 22.051 & 4451.193 && 0.762 & 9.928 & 4402.693 \\
Balance & 0.552 & 17.136 & 2836.250 && 0.149 & 28.488 & 2841.342 \\
Boston & 0.000 & 0.526 & 1648.008 && 0.001 & 0.547 & 1688.985 \\
Diabetes & 0.004 & 0.317 & 1364.941 && -0.000 & 0.371 & 1424.047 \\
Breast_Cancer & 0.772 & 10.172 & 3854.911 && 0.911 & 3.310 & 3766.402 \\
Bupa & 0.840 & 5.973 & 1463.152 && 0.801 & 5.641 & 1437.639 \\
Ecoli & 0.015 & 24.314 & 1200.463 && 0.025 & 19.090 & 1127.568 \\
Haberman & 0.866 & 4.677 & 1209.471 && 0.796 & 5.314 & 1147.479 \\
Led7Digit & 0.004 & 12.836 & 1902.272 && 0.007 & 10.919 & 1897.511 \\
Monk2 & 0.751 & 10.827 & 1949.305 && 0.945 & 2.067 & 1920.361 \\
Newthyroid & 0.320 & 13.182 & 777.480 && 0.057 & 18.295 & 746.740 \\
Vehicle & 0.089 & 28.044 & 4806.559 && 0.018 & 26.856 & 4749.812 \\
Zoo & 0.157 & 3.500 & 333.984 && 0.128 & 2.834 & 315.131 \\
Sonar & 0.800 & 5.040 & 1124.700 && 0.890 & 2.177 & 1069.862 \\
Heart & 0.692 & 8.512 & 1180.900 && 0.794 & 5.220 & 1152.719 \\
Ionosphere & 0.803 & 7.722 & 1986.543 && 0.591 & 11.974 & 1944.085 \\
Wdbc & 0.805 & 8.985 & 3829.407 && 0.930 & 2.801 & 3750.711 \\
Vowel & 0.002 & 14.486 & 4807.165 && 0.001 & 13.341 & 4867.849 \\
Movement_Libras & 0.006 & 8.679 & 1584.028 && 0.001 & 8.889 & 1590.321 \\
Appendicitis & 0.296 & 6.167 & 381.625 && 0.332 & 5.833 & 362.106 \\
Saheart & 0.749 & 10.940 & 2281.992 && 0.945 & 1.839 & 2225.210 \\
Spectfheart & 0.924 & 2.854 & 1561.040 && 0.778 & 5.732 & 1485.260 \\
Hayesroth & 0.107 & 7.536 & 545.861 && 0.099 & 8.261 & 520.702 \\
Tae & 0.119 & 7.115 & 522.088 && 0.066 & 8.380 & 513.289 \\
Glass & 0.017 & 17.500 & 745.987 && 0.031 & 11.743 & 722.009 \\
Rand & 0.444 & 5.929 & 494.398 && 0.240 & 7.194 & 480.815 \\
Spiral & 0.847 & 5.677 & 1133.962 && 0.949 & 1.495 & 1102.920 \\
Moons & 0.958 & 1.334 & 1133.858 && 0.995 & 0.020 & 1113.687 \\
Circles & 0.828 & 6.101 & 1136.484 && 0.982 & 0.404 & 1108.928 \\
Means & 0.457 & 8.978 & 1674.843 && 0.442 & 7.628 & 1648.779 \\

