0.2378 0.1904 505.1116 0.3416 0 483.5844
0.1196 2.4836 667.5078 0.1238 2.3528 656.5214
0.4958 0 176.3334 0.5154 0 151.1626
0.2356 25.1946 4072.0874 0.2748 22.4678 3990.3834
0.0902 25.5098 2585.182 0.0654 23.7996 2554.4936
-4e-04 0.1726 1502.4524 -8e-04 0.235 1570.5472
4e-04 0.3636 1277.9824 0.0026 0.4646 1284.4858
0.3952 17.4436 3651.2626 0.1588 22.2558 3602.6646
0.2808 14.151 1420.1168 0.1036 16.6722 1409.4868
0.0092 20.3206 1169.7976 0.0196 12.7632 1112.9812
0.0466 15.6992 1155.985 0.084 15.4412 1146.0228
0.0088 11.347 1786.943 0.0038 8.8656 1784.7078
0.4208 14.9262 1848.543 0.2696 16.385 1821.2076
0.017 6.58 760.7054 0.0102 6.8396 732.0562
0.0052 28.515 4366.1042 0.006 22.1514 4352.6628
0.1052 1.0908 336.3448 0.0982 2.1816 317.674
0.1236 7.6194 1106.039 0.1158 8.9524 1081.994
0.4826 6.7238 1150.2978 0.1344 12.5356 1130.0596
0.125 17.5872 1894.3898 0.3324 12.6032 1872.3076
0.4784 16.316 3596.5174 0.3572 17.0928 3528.0292
0.0028 13.3296 4245.672 0.0016 11.5232 4290.1544
0.0038 4.159 1508.2788 0.0034 3.3964 1519.185
0.0222 5.4544 383.6422 0.086 5.091 366.4908
0.1468 20.5554 2135.624 0.2648 16.7252 2095.5544
0.334 9.573 1451.2354 0.3432 8.604 1405.2426
0.0274 1.5002 550.1168 0.0248 2.0002 529.4244
0.0178 0.833 520.8554 0.024 1.3334 508.988
0.0158 8.6578 735.5072 0.0132 4.8484 694.9618
0.2754 0.3806 492.253 0.3944 0.381 471.7456
0.0582 15.4024 1098.6216 0.1136 13.7928 1099.7472
0.2766 11.816 1098.0886 0.272 11.356 1075.089
0.1658 12.598 1077.2382 0.0632 14.2068 1060.7872
0.157 10.51543125 1572.71364375 0.14439375 9.91618125 1553.13759375
